33,238,5.0
33,238,5.0
303,79,1.0
177,86,4.0
188,290,5.0
136,197,5.0
289,204,5.0
77,291,4.0
291,248,4.0
174,7,5.0
291,248,4.0
174,7,5.0
306,53,1.0
315,302,4.0
260,71,3.0
40,107,5.0
305,53,5.0
164,269,4.0
28,35,4.0
204,21,4.0
311,48,4.0
78,226,5.0
16,40,1.0
70,208,4.0
347,76,5.0
4,56,2.0
261,100,1.0
21,258,3.0
119,179,5.0
76,37,4.0
47,225,5.0
100,224,1.0
287,123,3.0
207,2,5.0
326,177,3.0
299,115,5.0
23,38,1.0
345,218,4.0
128,137,5.0
19,185,3.0
336,206,1.0
115,306,5.0
230,264,5.0
330,70,1.0
194,256,4.0
240,102,5.0
237,300,4.0
83,270,5.0
255,54,4.0
246,154,5.0
91,114,2.0
184,227,3.0
257,97,5.0
226,207,1.0
55,262,1.0
249,173,4.0
96,244,1.0
13,31,5.0
254,113,3.0
308,63,2.0
286,1,3.0
111,3,4.0
293,32,5.0
342,228,5.0
53,200,4.0
353,28,4.0
324,81,4.0
60,266,2.0
213,292,5.0
228,165,5.0
37,29,5.0
309,286,2.0
107,222,5.0
54,136,5.0
183,301,2.0
117,78,5.0
137,22,3.0
197,280,5.0
189,99,3.0
93,75,3.0
285,67,4.0
354,49,5.0
6,170,4.0
262,298,4.0
9,10,5.0
94,50,5.0
221,1,5.0
258,193,5.0
235,19,5.0
172,53,4.0
215,24,5.0
59,98,3.0
205,3,4.0
35,111,4.0
127,305,1.0
29,150,5.0
24,264,5.0
298,263,4.0
241,51,5.0
316,122,5.0
162,163,5.0
122,68,5.0
343,304,5.0
210,252,4.0
196,14,5.0
198,11,5.0
281,146,5.0
270,241,5.0
275,116,5.0
248,220,4.0
148,188,1.0
67,192,4.0
325,23,2.0
98,20,4.0
44,31,4.0
313,148,5.0
173,151,4.0
131,191,2.0
186,247,5.0
242,268,2.0
113,144,2.0
331,138,1.0
182,40,1.0
323,139,5.0
167,116,5.0
150,25,4.0
125,235,4.0
218,126,2.0
208,246,5.0
350,202,2.0
341,166,2.0
22,18,4.0
195,65,5.0
214,4,2.0
269,247,5.0
84,205,5.0
152,60,2.0
109,213,1.0
283,168,2.0
314,203,2.0
179,253,4.0
48,174,1.0
121,46,4.0
348,176,5.0
276,216,5.0
322,106,4.0
75,17,4.0
73,276,5.0
154,164,4.0
201,66,2.0
118,242,3.0
145,145,5.0
277,8,2.0
216,84,2.0
288,47,4.0
74,33,4.0
290,167,5.0
142,130,5.0
271,110,5.0
95,94,5.0
206,295,3.0
191,55,2.0
280,38,5.0
245,296,5.0
30,137,1.0
38,251,1.0
7,104,5.0
259,30,4.0
124,118,5.0
114,155,4.0
332,62,4.0
227,160,4.0
43,140,5.0
64,234,3.0
203,163,5.0
104,52,5.0
176,149,5.0
120,249,2.0
102,239,4.0
34,240,1.0
236,190,5.0
266,182,4.0
294,89,3.0
272,263,5.0
160,237,3.0
181,273,1.0
126,219,5.0
209,34,1.0
256,172,5.0
297,42,5.0
243,161,4.0
223,159,2.0
62,163,5.0
25,26,5.0
163,200,4.0
178,236,5.0
273,231,4.0
222,5,2.0
267,83,2.0
170,41,5.0
82,284,1.0
284,112,1.0
302,129,4.0
187,233,4.0
337,72,3.0
112,293,4.0
185,131,1.0
190,169,5.0
161,96,4.0
264,77,5.0
199,15,4.0
349,117,4.0
132,223,5.0
212,186,5.0
45,293,5.0
292,85,5.0
192,199,5.0
2,87,4.0
139,229,5.0
89,278,5.0
252,156,3.0
319,254,5.0
72,124,5.0
329,103,5.0
129,93,5.0
133,275,4.0
42,73,5.0
81,232,5.0
224,134,1.0
5,71,5.0
10,158,1.0
134,108,4.0
234,13,5.0
0,189,5.0
295,43,5.0
106,80,4.0
20,260,4.0
339,288,5.0
